text,predicted
"Akhir2 ini disekolah jadi serba salah, di bully mulu sama @Ady_Oho, Anthony & Budi (ʃ˘̩̩̩~˘̩̩̩ƪ)‎​",religion
@Diesal3426 Lovie is like that kid in school that does just enough to get by. In Lovie's case just enough to not get fired. #firelovie,religion
@shaner38 Avs REALLY needed the D man too...but they made right pick.,religion
Started watching Port v Magpies but turned it off. I hate to see bullying in the workplace,religion
Tongs for the memories campers #MKR,religion
@GBabeuf @MisGrace @RJennromao @DavidJo52951945 @Novorossiyan @gbazov @NewsCoverUp @rougek68 I see your logic is as screwed as your morals.,religion
RT @Quinnae_Moon: The distorting effects of the internet make it even worse; relatively minor figures online get scrutiny normally reserved…,religion
"You've got big hearts! Colin, I believe what you're meant to say was that they have enlarged, clogged hearts! #MKR",religion
WHAT THE SHIT http://t.co/ja2UbCspO3,religion
"RT @EzidiPress: #Ezidi fighter and his daughter on Mt #Shingal | We fight for what we love, while our enemies fight because they hate http:…",religion
"@DeShilianGuey lo digo por muchas cosas que leo, es una pena en verdad. Nuestros hijos crecerán rodeados de bullying por pensar diferente",religion
"Nevermind, Kat and Andre have no hope against the other teams now. #mkr",religion
Ok I officially dislike Kat the most #mkr,religion
"&amp; make this our little secret Emotional roller coaster, the pain is almost over the Monkey is off my shoulder",religion
Or a real #bully in life,religion
"@EdWardMDBlog @haaretzcom Again, are the Daesh Libya? Executing Egyptians is suppose to make Egyptians do what?",religion
@AMohedin 4:34 is in the Quran not the Hadith. And you don't explain why 5 translators would use strike.,religion
@wanyinglah hehehee trying to! But now very tempted!!!,religion
@kylieminogue @muse,religion
Seriously stoked the girls got through they are pretty and can cook....they are promo models and sassy  #MKR,religion
@RudhoeEnglish Living under ground like rats is very appropriate for the Daesh.,religion
If you tell me to get one of those weird hexa things i will never talk to you again.,religion
Kat &amp; Andre are terrible sports #mkr #mkr2015,religion
"@LucasProsty não toh ameaçando mas é um fato.. tah rolando bullying na sala e eu vou na direção contar, fazendo minha parte, outro fato q +",religion
#TwitterFamousWhoFollowMe @ItsAkmal &amp; he's my classmate too :) haha !,religion
Going to Antonios after this lunch,religion
RT @Kotaku: How Blizzard is taking aim at toxic players in Heroes of the Storm: http://t.co/Ukt4trogVl http://t.co/mrMRW6TcwX,religion
@_Free_Boosie_ lol did you have to look on facebook?,religion
Going to have a whale of a time with this trend.. #ReasonsIFailAtBeingAGirl,religion
Kat and Andre are absolute dickheads! #mkr,religion
@W_DiamondRacing What have you bought Tom ?,religion
What a relief! They're lucky they realised their mistake! #MKR,religion
no problem @pink_supernova we need more people like casey to end bullying.,religion
@AdnanSadiq01 @sibeledmonds And there would have been no Iraq elections.  Real shame.,religion
Unions bullying heads to shut schools for public sector strikes - Telegraph.co.uk http://t.co/UBYFU1n,religion
@Katrin_Salmani Lies. http://t.co/Qax81lnvg0,religion
"@trishesdishes Go back to the top of this thread and read again, then.",religion
"So small national service I go do wey I dey go thru hell, ahhhh wey screening too am tired koraa",religion
@omarboulakjar Thanks for the RTS!,religion
Can't quite shake the feeling that #MKR is a tiny bit rigged. Since when do bullies add more value to a show? #teamlynnandtony,religion
"#YesAllWomen are not going to just ""let it go."" There are countless women who are killed every day in single numbers who are forgotten.",religion
@p8952_ @mjg59 not my field. ^.^ at a guess? you can be just as tied to a pseudonym as your real name - or even more so.,religion
@pwafork it is awful Come Dine With Me because no one gets drunk on #mkr!,religion
@Assiye61 What do you want me to do? Hand deliver the Quran to you. The verse numbers are right there. Get a Quran and look it up.,religion
Não é bullying se eu te quebrar inteira e dizer que estava brincando de jogos mortais. http://t.co/W3lzR8z,religion
I have no idea how anyone is seeing blue at all. I see no blue.,religion
"@UmarFarooq_ radial momentum means that it does not fly away.  In the same way, both the plane and the atmosphere have radial momentum.",religion
"Nunca faça bullying, por que quando aquela pessoa crescer, pode virar um bruxo das trevas e se aliar a Lord... http://tumblr.com/xea3xm99fy",religion
Someone posted this on facebook in response to that woman tweeting at me earlier today. ^.^ http://t.co/bY9wkRELYO,religion
"@DineshDSouza @nobigotry In fact, Morgan does not get it. http://t.co/OJQyyICUyO",religion
Bradford team has 6 debuts: Hansen Flynn Branston Stewart Hanson Compton Mitchell bully syers Moore threlfall. #bcafc,religion
"@ChuckPfarrer And after each of those events Putin used the event to grab more power and diminish Russian freedoms, supposedly for security.",religion
RT @femfreq: Let me spell it out. It is deeply misogynist to propagate wild conspiracy theories suggesting women in gaming fake death or ra…,religion
@d_lacepanties safe travels girlie,religion
He's been offered contact info from those he's speaking with should he care to contribute. He's utilized none of this. I am unimpressed.,religion
"Le dan color con los tuiteros que almorzaron con Piñera.Tanto bullying,si hubieran sido ustedes los invitados habrían ido igual. #Esonomás.",religion
"RT @MMMotorsports: @YesYoureSexist @J_Carnivale14 I've navigated Moroccan desert w/o GPS, chase crew, cell phones. Only compass and map. I'…",religion
"Jelly much, Kat? Andre is no catch.  #mkr",religion
Na palestra da minha escola usaram o restart como exemplo de bullying -.-'kk',religion
Sometimes I don't know what Colin is saying #mkr,religion
@DiceTechJobs @Itshella_dom @Maira_Benjamin @jenrpetersen that isn't me.,religion
Kat the contradictory cow. Says she regrets voting strategically but does it again #mkr #mkr2015,religion
"Oh, hell. Is Blizzard proxying tweets instead of sending the tweet content directly to twitter from the WoW client?",religion
@DJCPI @TheQuinnspiracy @metafilter i saw. &lt;3 metafilter. :),religion
Annie is coated in + 1000 sunscreen. #mkr,religion
"You confused me... in a good way, -is a that a compliment, Colin? Katie and Nikki think so! #mkr",religion
@ATLathirox YOU SHOULD HAVE COME MY FRIENDS SNEAKED IN TO THE CONCERT WITHOUT TICKERS,religion
@WPIAL_Insider if quip played there classification who would u take clairton or quip,religion
Did that Nandos advert really just happen? #MKR,religion
@abedhalawi @saedsdk @amaz7_ @ramzimort Hahahaha i suppose so :p,religion
Omg Stewart has a long middle finger!! Lol!!,religion
@3x1minus1 What about electroclash? #neverforget,religion
@Inglonias expanding? O_o,religion
"The morning after, hung over, struggling to remember how that pile of o'reilly books ended up in your bed. ""WHAT DID I CODE LAST NIGHT""",religion
@SXOYXOS: Happy birthday @KierraLove2! Love you! (: Thanks girl love u too:),religion
@isamjs hahaha bercanda bully bully di twitter anak angkatan 6. Apa kabar kak? Gmana lancar gak nih puasanya?,religion
Colin scoring for the ratings tonight. A 7 for a roasted bird that wasn't stuffed and couscous. Other teams must feel ripped off. #mkr,religion
@DianH4 Being free to make your own choices is good.,religion
Don't deny it!,religion
Rico so mad that I don't get off til 7 😏😏😏,religion
@gennirobinson well I'm going to BK next yer I moved here from Ohio so I'm just finishing up my last semester through online school,religion
@TheQuinnspiracy PLZ GET URSELF A BLACKMILK SUPERHERO SWIM,religion
"@olga_imoet maafin ya, kalau ada bully yang gak diterima. ikhlasin ya... :)",religion
@tooomski lo tadi di bully ga tom?,religion
A melhor parte do dia é o bullying com o @CarlosPivetta rs.,religion
@shehzilk @watan71969 At least Churchill got it right. http://t.co/Bjgk9PdUUO,religion
Haha yes... Kat and Andre failing!! KARMA MOTHERFCKERS 😝 #MKR,religion
@_RetroQueen_ on the last day of school I seen you at taco bender,religion
Just now waking up.,religion
bully beatdown. #intense,religion
"@holinka if you are, i may try to locate you for another hug.",religion
"holy shit, i'd rather commit suicide than get bullied by @Laurennicoolee....",religion
"To all you people saying ""NOOO! #mkr dragging on!"".. there's 14 teams an weeks after these instant restaraunts. It's only 3 more months. :)",religion
Maybe the girls should have less tickets on themselves and worry about the cooking. #MKR,religion
Judges were frosty when scoring the rosti #mkr,religion
@leizlibranza yeah pole dancing was my biggest achievement! Aside from i knew how to actually look and move sexy with some bonus classes!,religion
if you don't know about the old old old school songs something is wrong.,religion
@LynnMagic we should def talk later :),religion
"The ""LOVE PINK CAMPAIGN"" for Self Love, Anti- Bullying, Ovarian Cancer, and NOH8 COMIN SOON!!!!!!! #TEAMISP #UnknownCelebrityPR  #weWorkin",religion
The teams are so rough in their scoring girls deserve better #MKR,religion
@FuckingDesean ahaha there's no reason anyone would bully me! X),religion
"NO matter how talented you are, not everybody is going to like you, but that’s life, just stay strong.",religion
Cramps from hell. Wah.,religion
"@buellerishere If you are impressed by madrassa rats, Baghdadi has his Phd in Islam. So who are you to tell him?",religion
My fav #MKR teams so far are definitely: Eva &amp; Debra Rose &amp; Josh Annie &amp; Loyd Robert &amp; Lynzy Sherie &amp; Emilie Jaz &amp; Shaz (not in order),religion
@InstantReporter @ALWiss5 And Egypt will have even more air strikes as revenge for taking the hostages.,religion
@pNibbler @AlterNet @MaxBlumenthal I don't care if someone believes that. As long as they don't assert the right to kill me for leaving.,religion
@boysies It was worth the trip alone. Blown away. She loves the gays and the gays love her. If photo u took isn't awful then do send it ;),religion
@bradybaggett @LUVSHINECAFE But at that time we didn't have fools saying that we can't fight Germany because there are good Germans.,religion
RT @mary__kaye: I blame the other teams for this. #mkr,religion
@root_tim this is my work :),religion
"RT @gater_ebooks: You Big Government, anti-freedom fucks are why I am in favour of fat shaming",religion
@desertfox899 is this 1997??? who uses MSN????,religion
"@MikeBoom_17 smh , you're in college ! Gtfo.Lol",religion
"@_DirtyTruths Of the three papers that he references, I have so far only been able to locate the third.",religion
@truaemusic Now you are drowning in self destructive PC stupidity. Conversation over. Blocked.,religion
"@MikePrysner @ChristophHeer52 Where is your evidence that any of these people are Nazis, Putin troll.",religion
"@_d_n_verg_ @stevesalaita Screaming in pure religious hatred, ""Allahu Akbar, Allahu Akbar, Allahu Akbar""",religion
@Assiye61 @MaxBlumenthal Seen it. But the Bible still has no concept of eternal jihad against all humanity.,religion
#chevape #paprikash #wogfood #MKR2015,religion
@98Halima @cdnKhadija @rfrankh53 @BilalIGhumman @johnnygjokaj Mohammed had no excuse at all to attack Khybar Jews.,religion
A comparison to Santa would be more apt. Lots of talk around the blocker tonight. http://t.co/rTgOj41PMX,religion
@LynneMcGranger Kat and Andre are a disgrace! They should be booted. To score that low to save themselves.....pffft! #mkr,religion
"@lucciiernaga7 si, jajajajajajja plan macabro jajajajajja y le hariamos bullying @MonicaLuck",religion
Obviously strategic voting!! #mkr,religion
@Popehat i can never tell anymore.,religion
"6 Italian scientists have been sent to prison for failing to predict the 2009 earthquake. I admit, a lot of people died, but really!!! #joke",religion
@rConflictNews @HaraldDoornbos What is even more disturbing is the number of people who want to watch.,religion
@MclendonLakisha That is a lie.  The prophet Mohammed had people executed for criticizing him.,religion
@_blackglass__ @dumuzi1969 YPG has civilians leave before the fight.  The Daesh holds them prisoner and uses them as shields.,religion
Im so pissed off i fucking hate everything and everyone,religion
@scholarshipscom My 2013 education resolution is to go to school for pharmacy and be successful.,religion
Chickeny thing. Technical terminology here #mkr,religion
"So she can try &amp; claim innocence, but statistics paint her as being someone to avoid. And I've been in her sights for a while. Oh well.",religion
Leo status: still zonked out http://t.co/QuSS6Mox8W,religion
RT @Rildom1: @YesYoureSexist @urmindblown the fact doesn't say intended for cars it literally says the windshield wipers which doesn't limi…,religion
"Really, really curious to see what happens with this.",religion
@sigje mayyyybe. Is there a CFP? I've done some neat stuff with statsd/graphite and abuse metrics,religion
"@MartinSenyszak you can have three errors, known errors, unknown errors and unknown unknown errors",religion
"“@PublimetroMX: Ninel Conde, víctima del bullying en Twitter, cambia su cuenta http://t.co/pFE73I7”/// aaaaaaaaaajajajajajajajahahahajahaja",religion
@MisGrace @GBabeuf @RJennromao @DavidJo52951945 @Novorossiyan @gbazov @NewsCoverUp @rougek68 Thanks for the intellectual response. Blocked.,religion
It's go time.,religion
@atonal440 @ralphcrafts i'm pretty entertained in that i only see half of the conversation. ;),religion
RT @HayatAlvi: Escaped Syrian Child Soldier: 'Don't Join #ISIS' http://t.co/xpcW4uHwQ1,religion
"hablando del bullying y el pasado bully de @JoselitoHuerta, @enjoyCARRILLO y @chekozucconi...",religion
“And so we’ll have whittled 18 down to 14 in just a few short months” #MKR,religion
Bullying ? É o caralho . Amg tiver passando porisso agnt resolvee ligeriin .,religion
God another fucking instant restaurant round #mkr,religion
This dessert looks I dunno... I'm not feeling it.. #mkr,religion
Got out of class early today #thankgod,religion
Woo can't wait to see what happens!!! #mkr,religion
I always get so hungry watching #mkr,religion
